Name,GarbageType,DetailType,Description,Url
アイロン掛け台,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アイロンだい,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アイロンの台,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アイロンスタンド,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アイロン台カバー,普通ごみ,,,
アイロンバッグ,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アイロンプリント紙,ミックスペーパー,,,
アイロン熱転写紙,ミックスペーパー,,,
アイロンシート,ミックスペーパー,,,
アイロンマット,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
アウトドア缶（ＯＤ缶）,小物金属,,中身を使いきって出してください。（穴あけは不要です。）/プラスチック製のキャップはプラスチック製容器包装として出してください。（識別表示を確認して出してください。）/中身が出せない場合は「中身入り」と張り紙をして出してください。,
ＯＤ缶,小物金属,,中身を使いきって出してください。（穴あけは不要です。）/プラスチック製のキャップはプラスチック製容器包装として出してください。（識別表示を確認して出してください。）/中身が出せない場合は「中身入り」と張り紙をして出してください。,
アウトドア用椅子（金属製）,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンプ用いす,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
ディレクターズチェア,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンプ用椅子,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンピングチェア,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンプ用品,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンプいす,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
レジャーチェア,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
レジャーチェアー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
デレクターズチェア,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
レジャー椅子,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アウトドアチェア,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
サマーチェアー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
ガーデンチェアー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンプ椅子,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンプ用イス,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
ピクニックチェアー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンプベンチ,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
三脚イス,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アウトドア椅子,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アウトドア用チェアー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンプチェア,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンプチェアー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
バーベキューチェアー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アウトドアチェアー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
ディレクターズチェアー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
ディレクターチェアー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
金属の椅子,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アウトドア用いす,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
野外用椅子,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンピングチェアー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンプイス,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
フォールディングチェア,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
キャンプのいす,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アウトドア用椅子（金属製以外）,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
青焼き,ミックスペーパー,,,
あかすり,普通ごみ,,,
アカスリ,普通ごみ,,,
あかすりタオル,普通ごみ,,,
アクセサリー,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
カチューシャ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ネックレス,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ピアス,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
髪飾り,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
髪留め,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
イヤリング,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
装飾品,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
シルバー,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ブローチ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
パール,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
バレッタ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
真珠,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ヘアアクセサリー,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ヘアクリップ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
腕輪,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ブレスレッド,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
髪どめ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ダッカール,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ヘア止め,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
金属の装飾品,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
小さな貴金属,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ブレスレット,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
かみどめ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
バングル,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ヘアバレッタ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ぴんどめ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ヘアーアクセサリー,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
イアリング,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ラインストーン,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
磁気ネックレス,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ビーズアクセサリー,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ティアラ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
かみとめ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
髪止め,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
かんざし,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
バンスクリップ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
おもちゃの指輪,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
バナナクリップ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ヘア飾り,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
かみかざり,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ばれった,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ループタイ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
チョーカー,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
簪,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ヘアコーム,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
シルバーアクセサリー,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ヘアークリップ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
ペンダントトップ,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
銀アクセサリー,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
あく取り,小物金属,普通ごみ,プラスチック製のものは普通ごみとして出してください。,
アク取り,小物金属,普通ごみ,プラスチック製のものは普通ごみとして出してください。,
アク取りおたま,小物金属,普通ごみ,プラスチック製のものは普通ごみとして出してください。,
握力計,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
握力器,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
アクリルケース,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アクリル樹脂,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
メタクリル樹脂,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
保存容器ケース,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
小物入れ,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アクリルの箱,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
小物いれ,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アクリルボックス,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
小物ケース,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
樹脂製品,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
小物箱,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アクリル容器,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
観察ケース,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
リーフレットケース,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
パンフレットケース,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アクリルスタンド,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アクリル製・プラスチック製の板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アクリル板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アクリルボード,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
プラ板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
プラスチック製ボード,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
塩ビ板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
塩化ビニール板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
ベーク板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
プラスチック板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
プラスチックボード,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
プラスチック製板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
プラスティック板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アクリルフレーム,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アクリルパネル,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
クリアボード,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
樹脂板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
樹脂製の板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アコーディオンカーテン,粗大ごみ,,,
アコーデオンカーテン,粗大ごみ,,,
アコーディオンドア,粗大ごみ,,,
アコーデオンドア,粗大ごみ,,,
パネルドア,粗大ごみ,,,
アコーディオンフェンス,粗大ごみ,,5個までを1個として出すことができます。,
麻ひも,普通ごみ,,,
麻紐,普通ごみ,,,
葦,普通ごみ,,,
ござ,普通ごみ,,,
ゴザ,普通ごみ,,,
足蹴り自転車,粗大ごみ,,,
ストライダー,粗大ごみ,,,
足蹴り乗用玩具(おもちゃ車),粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
おもちゃの乗り物,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
おもちゃ自動車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
コンビカー,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
乗り物玩具,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
子供乗り物,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
車のオモチャ,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
おもちゃの車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
幼児乗り物,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
足こぎ車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
幼児用車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
子どもの車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
玩具の車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
押しぐるま,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
足こぎ自動車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
子供の乗り物,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
子供自動車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
車のおもちゃ,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
子ども車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
子供用車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
子供の車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
子供用三輪車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
おもちゃのくるま,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
玩具の乗り物,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
足けり車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
足蹴り車,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
バギーカー,粗大ごみ,普通ごみ,プラスチック製・木製で最長辺50cm未満のものは普通ごみとして出してください。,
足ひれ(フィン),普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
ダイビングフィン,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
足ヒレ,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
ダイビング用フィン,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
ダイビング用足ひれ,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
マリンフィン,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
足拭きマット,普通ごみ,,,
バスマット,普通ごみ,,,
玄関マット,普通ごみ,,,
風呂マット,普通ごみ,,,
お風呂マット,普通ごみ,,,
お風呂用マット,普通ごみ,,,
バスシート,普通ごみ,,,
浴室マット,普通ごみ,,,
バスフロアマット,普通ごみ,,,
おふろマット,普通ごみ,,,
お風呂のマット,普通ごみ,,,
足ふき,普通ごみ,,,
ラバーすのこ,普通ごみ,,,
風呂場マット,普通ごみ,,,
足ふきマット,普通ごみ,,,
あしふきマット,普通ごみ,,,
風呂場の足ふき,普通ごみ,,,
玄関カーペット,普通ごみ,,,
屋外マット,普通ごみ,,,
フワフワマット,普通ごみ,,,
脚ふきマット,普通ごみ,,,
ミニマット,普通ごみ,,,
ドアマット,普通ごみ,,,
あし拭きマット,普通ごみ,,,
玄関まっと,普通ごみ,,,
吸水マット,普通ごみ,,,
脱衣所マット,普通ごみ,,,
汗取りマット,普通ごみ,,,
アタッシュケース（金属製）,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。 ,
ジェラルミンケース,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。 ,
ジュラルミンケース,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。 ,
アルミアタッシュケース,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。 ,
ソフトアタッシュケース,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。 ,
アタッシュケース（金属製以外）,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
圧縮袋,普通ごみ,,,
ふとん圧縮袋,普通ごみ,,,
布団圧縮袋,普通ごみ,,,
布団の圧縮袋,普通ごみ,,,
ビニール圧縮袋,普通ごみ,,,
圧縮布団袋,普通ごみ,,,
圧縮ビニール袋,普通ごみ,,,
圧縮ふとん袋,普通ごみ,,,
圧縮ふくろ,普通ごみ,,,
圧縮ぶくろ,普通ごみ,,,
ナイロン圧縮袋,普通ごみ,,,
布団圧縮パック,普通ごみ,,,
圧縮パック,普通ごみ,,,
衣類圧縮袋,普通ごみ,,,
衣類収納袋,普通ごみ,,,
衣類整理袋,普通ごみ,,,
厚紙,ミックスペーパー,,,
ボール紙,ミックスペーパー,,,
板紙,ミックスペーパー,,,
アトマイザー(香水噴霧器),小物金属,,,
アトマイザー(香水噴霧器)のキャップ・ノズル,普通ごみ,プラスチック製容器包装,中身の製品（香水等）を購入した際の容器はプラスチック製容器包装として出してください。（識別表示を確認して出してください。）,
アトマイザー(香水噴霧器:プラスチック製),普通ごみ,プラスチック製容器包装,中身の製品（香水等）を購入した際の容器はプラスチック製容器包装として出してください。（識別表示を確認して出してください。）,
穴あけパンチ(プラスチック製),普通ごみ,,最長辺50cm以上のものは粗大ごみとして出してください。,
ホールパンチ,普通ごみ,,最長辺50cm以上のものは粗大ごみとして出してください。,
